"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.995004900E-2,4.550814629E-4,-1.010008156E-3,-2.798461914E-2,2.800653717E-2
2.812531800E-2,-2.232924104E-3,-2.250885963E-2,-6.435394287E-3,2.351699410E-2
3.630189500E-2,-2.526782453E-3,-2.964246273E-2,1.990222931E-2,3.579328090E-2
4.447908700E-2,-2.820648253E-3,1.531131566E-3,-1.601028442E-2,1.632879750E-2
5.265585600E-2,-3.114551306E-3,3.974303603E-3,-6.431579590E-3,8.176841382E-3
6.083258700E-2,-1.059100777E-2,4.023283720E-3,3.147125244E-3,1.175842909E-2
6.902977900E-2,-1.806751639E-2,-5.504526198E-3,-2.079391479E-2,2.809131271E-2
7.720797100E-2,-2.075633034E-2,-7.849641144E-3,7.938385010E-3,2.356820044E-2
8.538743300E-2,-5.494493991E-3,-5.547806621E-3,1.262950897E-2,1.484830359E-2
9.356558700E-2,-1.297105476E-2,6.472192705E-3,-1.131248474E-2,1.838776362E-2
1.017439330E-1,5.888633430E-3,8.915379643E-3,-6.523132324E-3,1.251843653E-2
1.099215100E-1,1.517152786E-2,1.781783998E-3,-6.522178650E-3,1.660990145E-2
1.180978940E-1,1.248343289E-2,-7.746048272E-3,-3.046321869E-2,3.382077843E-2
1.262745480E-1,1.727183908E-2,4.224956036E-3,-1.732826233E-3,1.786531180E-2
1.344509330E-1,2.906117588E-3,-1.233826578E-2,3.055572510E-3,1.303897408E-2
1.426277400E-1,-4.178043455E-3,4.371866584E-3,-8.915901184E-3,1.077323343E-2
1.508023560E-1,-8.966434747E-3,-2.565875649E-3,3.052711487E-3,9.813241938E-3
1.589927020E-1,-9.015005082E-3,-2.517081797E-3,-6.525039673E-3,1.140973970E-2
1.671877020E-1,-9.015005082E-3,2.271324396E-3,-8.918762207E-3,1.288307224E-2
1.753635860E-1,-1.140872389E-2,2.271011472E-3,3.052711487E-3,1.202645090E-2
1.835392790E-1,5.301713943E-3,1.668520272E-2,-1.736640930E-3,1.759318283E-2
1.917152400E-1,-1.831926405E-3,-7.256813347E-3,-2.089118958E-2,2.219141943E-2
1.998907020E-1,5.399167538E-3,-1.228973269E-4,5.446434021E-3,7.670055893E-3
2.080656630E-1,5.399167538E-3,-1.718774438E-4,6.580352783E-4,5.441834469E-3
2.162400860E-1,1.263124496E-2,2.319991589E-3,-4.131317139E-3,1.349068165E-2
2.244153940E-1,-1.782435924E-3,4.664950073E-3,-6.525039673E-3,8.216749950E-3
2.325918170E-1,-1.684010029E-3,7.058851421E-3,-6.526947021E-3,9.760343774E-3
2.407663940E-1,-4.274092615E-3,7.156811655E-3,2.938747406E-2,3.054687304E-2
2.489410480E-1,-6.471939385E-3,-2.322353423E-3,-3.286457062E-2,3.357617201E-2
2.571373550E-1,-6.569623947E-3,1.204258949E-2,-1.739501953E-3,1.382786272E-2
2.653110090E-1,-1.829218119E-3,-4.717402160E-3,1.741600037E-2,1.813606878E-2
2.734853170E-1,-8.865412325E-3,9.648084641E-3,-2.807617188E-2,3.098310023E-2
2.816600480E-1,1.483178511E-2,9.599126875E-3,2.938652039E-2,3.428837510E-2
2.898342780E-1,2.664420754E-3,1.692892611E-2,3.178119659E-2,3.610723105E-2
2.980089320E-1,-6.717018783E-3,1.453500986E-2,-5.680561066E-2,5.901916854E-2
3.061832010E-1,-4.567660391E-3,4.860259593E-3,3.657150269E-2,3.717472869E-2
3.143573550E-1,-1.977618784E-3,-1.185020059E-2,-3.286266327E-2,3.498989665E-2
3.225326630E-1,-1.928646117E-3,-1.639373600E-2,-2.807712555E-2,3.256991304E-2
3.307077780E-1,1.229015365E-2,3.053396940E-3,-1.743316650E-3,1.278320236E-2
3.388836240E-1,2.762325108E-3,1.267917454E-2,-8.926391602E-3,1.575031346E-2
3.470612780E-1,-6.716027856E-3,7.988460362E-3,-2.089977264E-2,2.336067263E-2
3.552581240E-1,-9.208925068E-3,-8.574247360E-3,1.022434235E-2,1.621293296E-2
3.634532010E-1,-1.639153063E-2,-3.834813833E-3,-6.534576416E-3,1.805792797E-2
3.716282400E-1,-1.160410047E-2,1.052342355E-3,-1.371860504E-2,1.799896376E-2
3.798042400E-1,-6.815213710E-3,1.077578217E-2,1.261711121E-2,1.793756155E-2
3.879823930E-1,7.501494139E-3,3.592893481E-3,-8.931159973E-3,1.220438103E-2
3.961596240E-1,2.614639699E-3,-3.442473710E-3,3.039360046E-3,5.284380332E-3
4.043367390E-1,7.402550429E-3,-8.181601763E-3,3.038406372E-3,1.144413708E-2
4.125337010E-1,1.443785429E-2,8.675985038E-3,-1.749992371E-3,1.693478155E-2
4.207100470E-1,1.673314720E-2,1.346498728E-2,5.434036255E-3,2.215474775E-2
4.288857780E-1,4.615195096E-3,6.331339478E-3,-2.090263367E-2,2.232276819E-2
4.370607780E-1,6.961386651E-3,3.887601197E-3,-8.931159973E-3,1.197246698E-2
4.452359320E-1,-2.565953881E-3,-8.521080017E-4,-4.142761230E-3,4.946986757E-3
4.534111240E-1,-5.008637905E-3,-9.503364563E-4,5.434989929E-3,7.451758757E-3
4.615845470E-1,-2.517007291E-3,6.281495094E-3,-1.132583618E-2,1.319344805E-2
4.697588160E-1,-1.443952695E-2,1.580964774E-2,-8.931159973E-3,2.319936461E-2
4.779336620E-1,2.320859581E-3,3.789089620E-3,3.041267395E-3,5.384505243E-3
4.861094310E-1,-4.959214479E-3,-9.016767144E-4,-2.090263367E-2,2.150178884E-2
4.942843160E-1,-2.565015107E-3,1.590475440E-3,5.433082581E-3,6.215086560E-3
5.024603930E-1,-2.613514662E-3,6.329610944E-3,-4.142761230E-3,8.003555722E-3
5.106353160E-1,2.077918500E-3,1.540631056E-3,6.465911865E-4,2.666340095E-3
5.188110080E-1,-5.153659731E-3,8.919112384E-3,-8.932113647E-3,1.363427404E-2
5.269880080E-1,-2.758495510E-3,-5.446672440E-3,3.039360046E-3,6.820062143E-3
5.351648540E-1,-5.152203143E-3,1.833625138E-3,-6.539344788E-3,8.524694048E-3
5.433412000E-1,-1.951693371E-2,4.178553820E-3,-1.132774353E-2,2.294970124E-2
5.515157000E-1,-2.758003771E-3,-3.052733839E-3,-4.143714905E-3,5.839190175E-3
5.597086230E-1,-9.940609336E-3,-5.446933210E-3,-6.538391113E-3,1.308569271E-2
5.678847390E-1,-2.709884197E-3,-6.579533219E-4,-8.933067322E-3,9.358208520E-3
5.760597390E-1,-5.299512297E-3,1.735955477E-3,-1.749038696E-3,5.844442519E-3
5.842331620E-1,-1.497473195E-2,-1.028372347E-2,-4.141807556E-3,1.863201909E-2
5.924087000E-1,4.178397357E-3,1.589648426E-3,-6.536483765E-3,7.919066018E-3
6.005850460E-1,-5.398407578E-3,-3.198757768E-3,-1.748085022E-3,6.513881860E-3
6.087615460E-1,-7.694654167E-3,1.121544093E-2,-4.141807556E-3,1.421788971E-2
6.169382390E-1,1.783706248E-3,4.033118486E-3,-6.536483765E-3,7.885003025E-3
6.251144690E-1,4.226408899E-3,4.131369293E-3,5.434036255E-3,8.028667040E-3
6.332912000E-1,-5.447868258E-3,-6.083473563E-4,-8.931159973E-3,1.047926398E-2
6.414673920E-1,-7.842566818E-3,2.103770524E-2,-4.143714905E-3,2.283114691E-2
6.496584690E-1,1.839601249E-2,1.624901593E-2,-1.132583618E-2,2.703180274E-2
6.578542770E-1,4.029840231E-3,1.380641013E-2,-8.931159973E-3,1.692992001E-2
6.660305460E-1,-3.153245896E-3,-4.112273455E-4,-1.372051239E-2,1.408419426E-2
6.742069310E-1,-3.300175071E-3,6.820350885E-3,-6.538391113E-3,1.000794185E-2
6.823838150E-1,1.390274614E-3,-3.132745624E-4,-1.850891113E-2,1.856369564E-2
6.905591230E-1,-9.549409151E-4,2.612092346E-2,-1.132774353E-2,2.848740648E-2
6.987363150E-1,1.390751451E-3,-4.808090627E-3,-6.541252136E-3,8.236498321E-3
7.069123920E-1,8.622821420E-3,-2.512127161E-3,-1.611709595E-2,1.845059928E-2
7.150892380E-1,3.784947097E-3,-9.645491838E-3,-4.145622253E-3,1.116008608E-2
7.232649690E-1,-3.446150571E-3,-7.153593004E-3,6.418228149E-4,7.966290426E-3
7.314408150E-1,8.524380624E-3,9.557135403E-3,-6.540298462E-3,1.437982636E-2
7.396165840E-1,-5.792338401E-3,2.325840294E-3,-4.145622253E-3,7.493123587E-3
7.478126230E-1,-1.101631671E-3,2.423755825E-3,-1.372337341E-2,1.397924041E-2
7.559879690E-1,-1.805692911E-2,9.557373822E-3,-1.850986481E-2,2.756830025E-2
7.641648150E-1,-8.578076959E-3,1.274943352E-4,-4.145622253E-3,9.528160525E-3
7.723427000E-1,5.787130445E-3,1.688691229E-2,-2.090549469E-2,2.748996896E-2
7.805191610E-1,5.110312998E-2,4.183961749E-1,-2.156524181E0,2.197330980E0
7.886971230E-1,-2.926472388E-2,2.248228043E-1,5.871973038E-1,6.294460985E-1
7.968738530E-1,-1.627345756E-2,-5.128876567E-1,-1.349685669E0,1.443942512E0
8.050486990E-1,-5.117336512E-1,-5.832091346E-2,-1.447864532E0,1.536744729E0
8.132240840E-1,8.659526706E-2,3.310364485E-1,7.979059219E-1,8.681807017E-1
